state,action,action_name,policy_prob,empirical_prob,abs_diff
37,0,Up,0.5947612536862136,0.5904,0.00436125368621354
37,1,Down,0.030976696371088103,0.0319,0.0009233036289118951
37,2,Left,0.04661088237983962,0.0476,0.000989117620160386
37,3,Right,0.3276511675628588,0.3301,0.002448832437141224
38,0,Up,0.39876442053986266,0.4014,0.002635579460137316
38,1,Down,0.11689148148597293,0.1142,0.002691481485972938
38,2,Left,0.17996672058541488,0.1815,0.0015332794145851147
38,3,Right,0.3043773773887496,0.3029,0.00147737738874959
39,0,Up,0.5625028387186994,0.5701,0.007597161281300613
39,1,Down,0.10609589230231108,0.1033,0.0027958923023110732
39,2,Left,0.2265297713899781,0.2277,0.0011702286100219172
39,3,Right,0.10487149758901135,0.0989,0.005971497589011346
40,0,Up,0.10162772761737669,0.1022,0.0005722723826233067
40,1,Down,0.7125003425573601,0.7117,0.0008003425573600564
40,2,Left,0.18587192982526318,0.1861,0.00022807017473680524
40,3,Right,0.0,0.0,0.0
41,0,Up,1.0,1.0,0.0
41,1,Down,0.0,0.0,0.0
41,2,Left,0.0,0.0,0.0
41,3,Right,0.0,0.0,0.0
42,0,Up,0.29437440668868087,0.2967,0.002325593311319152
42,1,Down,0.3675790400728851,0.3744,0.0068209599271149
42,2,Left,0.0,0.0,0.0
42,3,Right,0.33804655323843397,0.3289,0.009146553238433941
43,0,Up,0.7496156446617804,0.7487,0.0009156446617804015
43,1,Down,0.0,0.0,0.0
43,2,Left,0.2202143328346515,0.2225,0.002285667165348504
43,3,Right,0.03017002250356829,0.0288,0.0013700225035682898
44,0,Up,0.2447718654241898,0.2399,0.004871865424189797
44,1,Down,0.14755241203617867,0.1512,0.003647587963821336
44,2,Left,0.42554887834785754,0.4234,0.0021488783478575413
44,3,Right,0.18212684419177405,0.1855,0.003373155808225947
45,0,Up,0.07472845039407192,0.0772,0.002471549605928089
45,1,Down,0.5589637949188093,0.564,0.005036205081190626
45,2,Left,0.3049691342364759,0.3012,0.0037691342364759017
45,3,Right,0.06133862045064277,0.0576,0.003738620450642771
46,0,Up,0.06208474996960278,0.0671,0.005015250030397225
46,1,Down,0.7880553669603574,0.7858,0.00225536696035733
46,2,Left,0.0913479207939182,0.0922,0.00085207920608181
46,3,Right,0.05851196227612171,0.0549,0.003611962276121712
47,0,Up,0.11693148677493323,0.1219,0.004968513225066765
47,1,Down,0.5443268812181222,0.539,0.0053268812181221925
47,2,Left,0.28668660166350896,0.2876,0.0009133983364910669
47,3,Right,0.05205503034343555,0.0515,0.0005550303434355558
48,0,Up,0.0030513079971406934,0.0024,0.0006513079971406936
48,1,Down,0.16440830836812115,0.1691,0.004691691631878853
48,2,Left,0.056536512984516986,0.0576,0.0010634870154830126
48,3,Right,0.7760038706502213,0.7709,0.0051038706502212206
49,0,Up,0.02278322170416366,0.0213,0.0014832217041636613
49,1,Down,0.14625682006488938,0.1478,0.0015431799351106057
49,2,Left,0.21749644619567463,0.2232,0.005703553804325384
49,3,Right,0.6134635120352723,0.6077,0.005763512035272256
50,0,Up,0.10433213843560164,0.1022,0.0021321384356016437
50,1,Down,0.0,0.0,0.0
50,2,Left,0.27429001763993177,0.2746,0.0003099823600682394
50,3,Right,0.6213778439244666,0.6232,0.0018221560755333766
51,0,Up,0.0,0.0,0.0
51,1,Down,0.2042230624660373,0.2008,0.0034230624660372966
51,2,Left,0.1551288822892654,0.1518,0.0033288822892654224
51,3,Right,0.6406480552446973,0.6474,0.006751944755302719
52,0,Up,0.23213101611376116,0.2258,0.006331016113761162
52,1,Down,0.30947604010270796,0.3092,0.0002760401027079862
52,2,Left,0.4583929437835309,0.465,0.0066070562164691204
52,3,Right,0.0,0.0,0.0
53,0,Up,1.0,1.0,0.0
53,1,Down,0.0,0.0,0.0
53,2,Left,0.0,0.0,0.0
53,3,Right,0.0,0.0,0.0
54,0,Up,0.5308475337060552,0.5366,0.005752466293944769
54,1,Down,0.17906892368699198,0.1718,0.007268923686991974
54,2,Left,0.0,0.0,0.0
54,3,Right,0.2900835426069528,0.2916,0.0015164573930472325
55,0,Up,0.2999266306017017,0.2897,0.010226630601701703
55,1,Down,0.04825724993948897,0.0534,0.005142750060511035
55,2,Left,0.2122143034885929,0.2128,0.00058569651140708
55,3,Right,0.4396018159702164,0.4441,0.004498184029783581
56,0,Up,0.08310270803970406,0.0891,0.005997291960295942
56,1,Down,0.8965644427458153,0.89,0.0065644427458152466
56,2,Left,0.012584652073994153,0.0136,0.0010153479260058464
56,3,Right,0.007748197140486475,0.0073,0.0004481971404864749
57,0,Up,0.41996500534019743,0.422,0.002034994659802558
57,1,Down,0.0,0.0,0.0
57,2,Left,0.13703599777706169,0.1315,0.00553599777706168
57,3,Right,0.4429989968827409,0.4465,0.003501003117259094
58,0,Up,0.3857360809499131,0.3803,0.005436080949913047
58,1,Down,0.12846624577281368,0.1289,0.00043375422718630596
58,2,Left,0.3283129359075084,0.3362,0.007887064092491625
58,3,Right,0.15748473736976498,0.1546,0.0028847373697649947
59,0,Up,0.11764790938312368,0.1175,0.00014790938312368718
59,1,Down,0.05707870383968573,0.053,0.004078703839685734
59,2,Left,0.3230020257815286,0.323,2.0257815285806835e-06
59,3,Right,0.502271360995662,0.5065,0.004228639004337897
60,0,Up,1.0,1.0,0.0
60,1,Down,0.0,0.0,0.0
60,2,Left,0.0,0.0,0.0
60,3,Right,0.0,0.0,0.0
61,0,Up,0.746407625343853,0.7464,7.625343853012723e-06
61,1,Down,0.09623238740505681,0.0891,0.0071323874050568115
61,2,Left,0.0,0.0,0.0
61,3,Right,0.1573599872510903,0.1645,0.007140012748909713
62,0,Up,0.061818292190399284,0.0574,0.004418292190399284
62,1,Down,0.412152221687807,0.4143,0.0021477783121929828
62,2,Left,0.426829230299283,0.4298,0.002970769700717024
62,3,Right,0.09920025582251056,0.0985,0.0007002558225105565
63,0,Up,0.0,0.0,0.0
63,1,Down,0.17778778142188142,0.1743,0.003487781421881414
63,2,Left,0.7041182812763479,0.7101,0.005981718723652052
